occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018
8163,"8163 -  Maskinoperatörer, kvarn-, bageri- och konfektyrindustri",126.8,183.5,89.2,9.7,13.2,7.4,4101,1635,2466,98,96,..,..,96,98,95,97,98,96
1492,"1492 -  Övriga verksamhetschefer inom utbildning, nivå 2",58.5,84,35.6,6.4,9.6,3.5,854,405,449,..,..,..,..,..,..,..,..,..,..
1612,"1612 -  Chefer inom bank, finans och försäkring, nivå 2",40.8,63.5,23.6,3.7,5.4,2.4,3578,1543,2035,89,86,94,81,81,86,85,91,80,81
2132,2132 -  Växt- och djurbiologer,72.3,110.2,32.5,6.8,10,3.5,692,354,338,97,..,97,100,..,95,98,95,96,98
2161,2161 -  Arkitekter m.fl.,67.3,91.6,38.8,6.1,8.5,3.2,5142,2772,2370,..,..,..,99,..,103,99,98,97,95
2219,2219 -  Övriga läkare,59.3,83.7,31,5,6.9,2.7,4793,2570,2223,92,94,100,100,97,93,94,96,100,100
2313,2313 -  Forskarassistenter m.fl.,42,71.1,20,3.2,4.7,2.1,1405,605,800,90,95,98,98,98,86,95,97,98,98
2314,2314 -  Doktorander,56.6,88.1,29.1,6.6,9.9,3.6,12255,5721,6534,97,97,98,98,98,98,98,98,98,98
2330,2330 -  Gymnasielärare,75.1,96.4,44.8,8,10.1,4.9,29282,17168,12114,99,99,99,100,100,99,99,100,101,101
2613,2613 -  Åklagare,75.1,98.9,39.9,5.5,6.9,3.5,932,556,376,96,96,96,96,97,92,92,92,92,93
2669,2669 -  Övriga yrken inom socialt arbete,136.3,160,91.4,12.4,14.3,9,2252,1475,777,99,100,..,103,101,100,102,100,109,105
3341,3341 -  Gruppledare för kontorspersonal,66,85.6,38.9,6.1,7.8,3.7,4847,2815,2032,88,91,96,91,89,87,89,95,89,90
4212,4212 -  Inkasserare och pantlånare m.fl.,94.1,120.3,45.6,7.8,8.8,5.7,1063,690,373,..,..,..,..,..,95,83,102,96,101
4420,4420 -  Brevbärare och postterminalarbetare,120.6,157.9,98.8,9.3,12.5,7.5,16123,5941,10182,99,..,..,..,..,99,..,..,..,..
5120,5120 -  Kockar och kallskänkor,122.3,163.1,68.7,11,14.6,6.3,33792,19185,14607,97,98,96,96,97,98,98,96,97,95
5221,5221 -  Säljande butikschefer och avdelningschefer i butik,85,108.8,53.5,8.9,11.8,5.1,24325,13856,10469,93,91,87,86,..,89,90,86,82,75
5242,5242 -  Telefonförsäljare m.fl.,96.8,138.2,68.6,10.3,14.8,7.2,5943,2403,3540,100,..,..,95,98,98,101,96,97,99
6112,6112 -  Trädgårdsodlare,80,92.4,70.7,9,12.9,6,2525,1082,1443,..,..,..,..,..,97,92,92,90,91
8181,"8181 -  Maskinoperatörer, påfyllning, packning och märkning",125.2,166.4,104.2,10.8,13.9,9.1,4551,1538,3013,..,94,95,96,97,101,94,96,96,97
9320,9320 -  Handpaketerare och andra fabriksarbetare,115.8,152.2,92.2,11.4,16,8.4,9777,3844,5933,94,92,94,97,98,95,93,96,97,98
1112,"1112 -  General-, landstings- och kommundirektörer m.fl.",28.2,37.4,20,2.2,3.5,1.1,2375,1122,1253,97,98,98,99,100,97,98,98,99,100
1212,"1212 -  Ekonomi- och finanschefer, nivå 2",49.3,63.8,28.5,4.5,5.8,2.7,8682,5107,3575,78,82,83,91,89,71,70,80,85,85
1222,"1222 -  Personal- och HR-chefer, nivå 2",61.8,78,37.3,5.8,7.4,3.5,3966,2384,1582,98,89,92,99,94,101,93,98,102,95
1291,"1291 -  Övriga administrations- och servicechefer, nivå 1",46.3,71.4,29.4,4.9,7.2,3.3,6416,2578,3838,90,..,79,84,..,90,76,75,84,..
1521,"1521 -  Avdelningschefer inom socialt och kurativt arbete, nivå 1",77.1,89.1,49.1,6.8,7.4,5.5,882,617,265,..,..,..,..,98,101,104,105,..,102
1611,"1611 -  Chefer inom bank, finans och försäkring, nivå 1",22.1,33.9,15.5,1.4,1.9,1.1,1310,472,838,68,72,70,71,71,67,72,68,70,69
2162,2162 -  Landskapsarkitekter,68,100.5,36.2,6.9,10.7,3.1,1588,786,802,97,..,..,99,97,97,97,95,97,95
2312,2312 -  Universitets- och högskolelektorer,51.6,73.6,33.2,5.4,8.3,2.9,7804,3558,4246,97,97,97,97,97,97,97,97,97,97
2415,2415 -  Nationalekonomer och makroanalytiker m.fl.,49.2,77.6,25.2,3.5,5.4,2,1241,567,674,93,97,95,..,..,86,95,91,91,97
3441,3441 -  Trafiklärare,88.5,126.5,67.6,10.5,14.3,8.3,1423,506,917,..,..,..,..,..,..,..,..,..,..
