occupation_level4_number,occupation_level4,n_sickcase_per1000,n_sickcase_per1000_f,n_sickcase_per1000_m,avg_sickdays,avg_sickdays_f,avg_sickdays_m,n_emp,n_emp_f,n_emp_m,stw_pay_quota_2014,stw_pay_quota_2015,stw_pay_quota_2016,stw_pay_quota_2017,stw_pay_quota_2018,uw_pay_quota_2014,uw_pay_quota_2015,uw_pay_quota_2016,uw_pay_quota_2017,uw_pay_quota_2018
2672,2672 -  Diakoner,158,..,..,18.9,..,..,1152,..,..,98,98,99,..,..,98,97,99,..,..
3116,3116 -  Ingenjörer och tekniker inom gruvteknik och metallurgi,66.6,..,..,6.5,..,..,691,..,..,92,94,93,..,..,92,95,93,93,95
3151,3151 -  Maskinbefäl,32.6,..,..,3.1,..,..,583,..,..,..,..,..,..,..,..,..,..,..,..
3152,3152 -  Fartygsbefäl m.fl.,48.8,..,..,3.2,..,..,1210,..,..,..,..,..,..,..,..,..,..,..,..
3153,3153 -  Piloter m.fl.,95.7,..,..,7.8,..,..,1463,..,..,..,..,..,..,..,..,..,..,..,..
3155,3155 -  Flygtekniker,74.3,..,..,4.1,..,..,807,..,..,..,..,..,..,..,..,..,..,..,..
3230,3230 -  Terapeuter inom alternativmedicin,..,..,..,..,..,..,122,..,..,..,..,..,..,..,..,..,..,..,..
3240,3240 -  Djursjukskötare m.fl.,150.7,..,..,15.5,..,..,1958,..,..,..,97,95,90,98,101,92,92,96,97
3250,3250 -  Tandhygienister,143.6,..,..,11.5,..,..,3468,..,..,..,..,..,..,..,..,..,..,..,113
3421,3421 -  Professionella idrottsutövare,182,..,..,12.4,..,..,1313,..,..,..,..,..,..,..,..,..,..,..,..
3424,3424 -  Friskvårdskonsulenter och hälsopedagoger m.fl.,105.1,..,..,11.8,..,..,1056,..,..,..,..,..,..,..,105,101,90,83,83
3433,3433 -  Inspicienter och scriptor m.fl.,56.9,..,..,5.3,..,..,756,..,..,..,..,..,..,..,97,103,90,..,..
3452,3452 -  Storhushållsföreståndare,111.7,..,..,13.7,..,..,1298,..,..,..,..,..,..,..,..,..,..,..,..
4211,4211 -  Croupierer och oddssättare m.fl.,..,..,..,..,..,..,475,..,..,..,..,..,88,..,..,..,..,91,89
5142,5142 -  Hudterapeuter,131.6,..,..,13.3,..,..,828,..,..,..,..,..,..,..,..,..,..,..,..
5143,5143 -  Massörer och massageterapeuter,78.9,..,..,7.7,..,..,697,..,..,..,..,..,..,..,..,..,..,..,..
5149,5149 -  Övriga skönhets- och kroppsterapeuter,90.1,..,..,10,..,..,655,..,..,..,..,..,..,..,..,..,..,..,..
5325,5325 -  Barnsköterskor,184.1,..,..,19.1,..,..,1472,..,..,..,..,..,..,..,..,..,..,..,..
5326,5326 -  Ambulanssjukvårdare,153.8,..,..,13.2,..,..,988,..,..,98,97,98,98,..,96,95,98,98,93
5350,5350 -  Tandsköterskor,134.7,..,..,12.7,..,..,9842,..,..,..,..,..,..,..,..,..,..,..,..
6122,6122 -  Uppfödare och skötare av sällskapsdjur,161.2,..,..,17,..,..,769,..,..,..,..,..,..,..,..,..,..,..,..
6129,6129 -  Övriga djuruppfödare och djurskötare,122,..,..,11,..,..,959,..,..,..,..,..,..,..,..,..,..,..,..
6221,6221 -  Fiskodlare,..,..,..,..,..,..,206,..,..,..,..,..,..,..,..,..,..,..,..
6222,6222 -  Fiskare,46,..,..,7.5,..,..,565,..,..,..,..,..,..,..,..,..,..,..,..
7112,7112 -  Murare m.fl.,104.2,..,..,8.7,..,..,6620,..,..,..,..,..,..,..,..,..,..,..,..
7113,7113 -  Betongarbetare,133.2,..,..,9.8,..,..,8218,..,..,..,..,..,..,..,..,..,..,83,..
7115,7115 -  Anläggningsdykare,..,..,..,..,..,..,186,..,..,..,..,..,..,..,..,..,..,..,..
7121,7121 -  Takmontörer,108,..,..,9.5,..,..,3056,..,..,..,..,..,..,..,..,..,..,..,..
7122,7122 -  Golvläggare,104.7,..,..,7.9,..,..,3409,..,..,..,..,..,..,..,..,..,..,..,..
7123,7123 -  Isoleringsmontörer,107.3,..,..,8.7,..,..,1659,..,..,..,..,..,..,..,..,..,..,..,..
7124,7124 -  Glastekniker,84.2,..,..,7.5,..,..,2162,..,..,..,..,..,..,..,..,..,..,..,..
7125,7125 -  VVS-montörer m.fl.,98.5,..,..,7.6,..,..,16367,..,..,..,..,..,..,..,..,..,..,..,..
7126,7126 -  Kyl- och värmepumpstekniker m.fl.,94.3,..,..,7.9,..,..,3108,..,..,..,..,..,..,..,..,..,..,..,..
7133,7133 -  Skorstensfejare,111.6,..,..,8.1,..,..,842,..,..,..,..,..,..,..,..,..,..,..,..
7211,7211 -  Gjutare,116.3,..,..,10.5,..,..,1015,..,..,..,..,..,..,..,..,..,..,..,..
7213,7213 -  Byggnads- och ventilationsplåtslagare,106.5,..,..,8.2,..,..,4638,..,..,..,..,..,..,..,..,..,..,..,..
7214,7214 -  Tunnplåtslagare,99.2,..,..,7.7,..,..,3427,..,..,..,..,..,..,..,..,..,..,..,..
7215,7215 -  Stålkonstruktionsmontörer och grovplåtsslagare,103.4,..,..,8.5,..,..,1664,..,..,..,..,..,..,..,..,..,..,..,..
7221,7221 -  Smeder,119.6,..,..,9.9,..,..,2667,..,..,..,..,..,..,..,..,..,..,..,..
7222,7222 -  Verktygsmakare,75.7,..,..,5.2,..,..,2232,..,..,..,..,..,..,..,..,..,..,..,..
7224,7224 -  Slipare m.fl.,105.3,..,..,11.4,..,..,1140,..,..,..,..,..,..,..,..,..,..,..,..
7232,7232 -  Flygmekaniker m.fl.,..,..,..,..,..,..,401,..,..,..,..,..,..,..,..,..,..,..,..
7312,7312 -  Guld- och silversmeder,..,..,..,..,..,..,330,..,..,..,..,..,..,..,..,..,..,..,..
7412,7412 -  Industrielektriker,76.3,..,..,5.9,..,..,6199,..,..,..,..,..,..,89,..,..,..,85,89
7413,7413 -  Distributionselektriker,78.2,..,..,5.1,..,..,2879,..,..,..,..,..,..,..,..,..,..,..,..
7522,"7522 -  Fin-, inrednings- och möbelsnickare",87,..,..,8.3,..,..,3929,..,..,..,..,..,..,..,..,..,..,..,..
7531,7531 -  Skräddare och ateljésömmerskor m.fl.,102.5,..,..,13.5,..,..,976,..,..,..,..,..,..,..,..,..,..,..,..
7532,7532 -  Sömmare,114.7,..,..,11.7,..,..,654,..,..,..,..,..,..,..,..,..,..,..,..
7533,7533 -  Tapetserare,..,..,..,..,..,..,442,..,..,..,..,..,..,..,..,..,..,..,..
7534,7534 -  Läderhantverkare och skomakare,..,..,..,..,..,..,277,..,..,..,..,..,..,..,..,..,..,..,..
7613,7613 -  Provsmakare och kvalitetsbedömare,..,..,..,..,..,..,173,..,..,..,..,..,..,..,..,..,..,..,..
7619,7619 -  Övriga livsmedelsförädlare,..,..,..,..,..,..,479,..,..,..,..,..,..,..,..,..,..,..,..
8111,8111 -  Gruv- och stenbrottsarbetare,113.4,..,..,7.6,..,..,3288,..,..,93,86,102,98,..,96,88,100,98,..
8112,"8112 -  Processoperatörer, stenkross- och malmförädlingsanläggning",80.9,..,..,5.2,..,..,1668,..,..,..,105,106,..,100,..,105,106,..,100
8113,8113 -  Brunnsborrare m.fl.,..,..,..,..,..,..,421,..,..,..,..,..,..,..,..,..,..,..,..
8114,"8114 -  Maskinoperatörer, cement-, sten- och betongvaror",115.4,..,..,9.6,..,..,1603,..,..,..,..,..,..,..,..,..,..,..,..
8116,8116 -  Stenhuggare m.fl.,103.7,..,..,6.9,..,..,617,..,..,..,..,..,..,..,..,..,..,..,..
8174,"8174 -  Maskinoperatörer inom ytbehandling, trä",122.6,..,..,13.3,..,..,571,..,..,..,..,..,..,..,..,..,..,..,..
8312,8312 -  Bangårdspersonal,116.9,..,..,9.6,..,..,1078,..,..,..,97,98,99,99,..,95,96,98,99
8341,8341 -  Förare av jordbruks- och skogsmaskiner,56.8,..,..,4.6,..,..,4968,..,..,..,..,..,..,..,..,..,..,..,..
8343,8343 -  Kranförare m.fl.,105.9,..,..,9,..,..,1313,..,..,..,..,..,..,..,..,..,..,..,..
8350,8350 -  Matroser och jungmän m.fl.,72.4,..,..,8.4,..,..,870,..,..,..,..,..,..,..,..,..,..,..,..
9310,9310 -  Grovarbetare inom bygg och anläggning,105.3,..,..,8.3,..,..,5425,..,..,..,..,..,..,..,..,..,..,90,..
9331,9331 -  Hamnarbetare,100.6,..,..,8.4,..,..,2187,..,..,..,..,..,..,..,..,..,..,..,..
9520,9520 -  Torg- och marknadsförsäljare,..,..,..,..,..,..,127,..,..,..,..,..,..,..,..,..,..,..,..
0,,,,,,,,,,,95,95,96,96,96,87,87,88,89,89
1,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..
2,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..
1421,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..
5144,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..
7116,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..
7521,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..
8115,,,,,,,,,,,..,..,..,..,..,..,..,..,..,..
